 Rk,Pass Coverage Player,Pass Coverage Age,Pass Coverage Team,Pass Coverage Pos,Pass Coverage GAME,Pass Coverage GameStart,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Rush Yds/Tgt,Pass Rush TD,Pass Rush Rat,Pass Rush DADOT,Pass Rush Air,Pass Rush YAC,Tackles Bltz,Tackles Hrry,Tackles QBKD,additional Bats, Sk, Prss, Comb, MTkl, MTkl%,,
243,Ahkello Witherspoon,28,LAR,DB,17,17,3,106,51,48.1,753,14.8,7.1,5,75.7,14.8,566,187,1,0,0,0,0,0,52,9,14.8,WithAh00,
244,Mike Edwards,27,KAN,S,17,5,1,31,15,48.4,199,13.3,6.4,2,77.2,11.9,130,69,6,0,0,0,1,1,51,5,8.9,EdwaMi01,
245,B.J. Hill,28,CIN,DT,17,17,2,1,1,100,1,1,1,0,39.6,-7,-7,8,0,3,14,3,4.5,23,51,2,3.8,HillB.00,
246,Aidan Hutchinson,23,DET,DL,17,17,1,3,0,0,0,0,0,0,-2.3,0,0,1,29,21,5,11.5,62,51,9,15,PB,HutcAi00,
247,Ja'Quan McMillian,23,DEN,CB,16,3,2,66,37,56.1,400,10.8,6.1,7,96.8,7.2,185,215,19,0,1,1,2,3,51,8,13.6,McMiJa00,
248,Ed Oliver,26,BUF,DT,16,16,1,1,0,0,0,0,0,0,-2,0,0,0,3,5,2,9.5,19,51,7,12.1,OlivEd00,,
249,Darnell Savage Jr.,26,GNB,SS,10,10,0,23,18,78.3,222,12.3,9.7,0,106.9,8.6,150,72,3,1,0,0,0,1,51,8,13.6,SavaDa00,
250,Tavierre Thomas,27,HOU,CB,9,5,0,33,26,78.8,276,10.6,8.4,1,111.6,6.5,155,121,12,0,0,0,0,0,51,5,8.9,ThomTa01,
251,Denico Autry,33,TEN,LDE,17,14,0,2,2,100,12,6,6,0,91.7,2.5,5,7,0,8,3,3,11.5,24,50,7,12.3,AutrDe00,
252,Brian Burns,25,CAR,LOLB,16,16,0,15,12,80,70,5.8,4.7,0,86.1,1.4,31,39,35,2,11,1,8,21,50,4,7.4,BurnBr00,
253,Michael Carter II,24,NYJ,CB,15,7,0,62,32,51.6,299,9.3,4.8,1,70.6,7.8,116,183,13,3,1,0,0,4,50,5,9.1,CartMi02,
254,Michael Danna,26,KAN,DE,16,16,0,4,3,75,8,2.7,2,1,116.7,-4.5,-17,25,1,9,5,3,6.5,21,50,2,3.8,DannMi00,
255,Malik Hooker,27,DAL,S,16,15,1,23,13,56.5,213,16.4,9.3,1,84.1,13,113,100,4,0,0,0,0,0,50,4,7.4,HookMa00,
256,DeMarcus Lawrence,31,DAL,DE,17,17,0,5,2,40,29,14.5,5.8,0,59.6,-5.6,-11,40,2,6,4,6,4,14,50,3,5.7,PB,LawrDe00
257,Keanu Neal,28,PIT,SS,9,8,1,34,21,61.8,282,13.4,8.3,1,85.7,7,160,122,10,0,1,0,0,1,50,8,13.8,NealKe01,
258,David Onyemata,31,ATL,DL,14,14,0,2,1,50,4,4,2,0,56.2,-3.5,-5,9,0,5,11,1,4,21,50,1,2,OnyeDa00,
259,Taylor Rapp,26,BUF,S,16,4,1,18,11,61.1,161,14.6,8.9,1,85.6,14.2,141,20,4,0,0,0,0.5,1,50,3,5.7,RappTa00,
260,Amik Robertson,25,LVR,CB,17,12,2,66,39,59.1,531,13.6,8,3,87.4,9.9,244,287,4,0,0,0,1,1,50,5,9.1,RobeAm00,
261,Nathan Shepherd,30,NOR,DT,17,17,0,0,0,0,0,0,0,0,4,3,0,3.5,11,50,3,5.7,ShepNa00,,,,,,
262,Isaiah Simmons,25,NYG,S,17,4,1,27,22,81.5,199,9,7.4,0,81.9,1.9,37,162,54,4,0,1,1,5,50,8,13.8,SimmIs00,
263,Tedarrell Slaton,26,GNB,DL,17,17,0,0,0,0,0,0,0,0,3,1,1,0,4,50,3,5.7,SlatTe00,,,,,,
264,Cam Taylor-Britt,24,CIN,CB,12,12,4,67,38,56.7,620,16.3,9.3,3,78,15.2,452,168,0,1,0,0,0,1,50,4,7.4,TaylCa01,
265,Kayvon Thibodeaux,23,NYG,OLB,17,17,0,11,8,72.7,47,5.9,4.3,0,80.5,-2.5,-28,75,98,18,4,4,11.5,35,50,5,9.1,ThibKa00,
266,DJ Turner,23,CIN,CB,17,12,0,69,40,58,693,17.3,10,4,111.6,12.6,356,337,0,0,0,0,1,1,50,4,7.4,TurnDJ01,
267,Jimmie Ward,32,HOU,S,10,10,1,34,28,82.4,351,12.5,10.3,0,97.4,8.8,214,137,4,0,0,0,0,0,50,3,5.7,WardJi01,
268,Dre'Mont Jones,26,SEA,DE,17,16,0,3,3,100,66,22,22,0,118.7,5.3,16,50,4,8,7,0,4.5,20,49,3,5.8,JoneDr00,
269,Justin Jones,27,CHI,RDT,17,17,0,4,4,100,22,5.5,5.5,0,89.6,-1.5,-6,28,0,5,12,4,4.5,22,49,4,7.5,JoneJu03,
